id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
608,750,"YOGESH KIRANA, UDHNA YARD",UDHNA YARD,NITINBHAI 2,60100
609,751,"YAMUNA MASALA GRUH UDHYOG, AMROLI",AMROLI,VIPULBHAI,-10300
610,752,"Z HARIOM KIRANA (MODEL TOWN), PARVAT PATIYA",ROLL (N),EXTRA,1815
611,753,"ARIHANT SUPER STORE (RAKESHBHAI), KADODARA/CHALTHAN",KADODARA,VIPULBHAI,0
612,754,"ADARSH FARASAN, DHARAM NAGAR",A.K.ROAD V,VIPULBHAI,0
613,759,"AL AMIN TRADERS, BHAGAL",BHAGAL,NITINBHAI 1,28005
614,761,"ANNAPURNA TRADERS, UDHANA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,28125
615,762,"AMBIKA SALES AGENCY, OLPAD",KAVAS,NITINBHAI 2,0
616,763,"ASHOK KIRANA, GHANSHYAM NAGAR",GHANSHYAM NAGAR,VIPULBHAI,0
617,765,"AMINITI ENTERPRISE, H. SANKET DALAL RAILWAY STATION",DILHI GATE,NITINBHAI 1,0
618,771,"AJAY CHETAN & CO, BHAGAL",BHAGAL,NITINBHAI 1,123000
619,773,"BHAVANI FARSAN ( BIPINBHAI ), GHANSHYAM NAGAR",GHANSHYAM NAGAR,VIPULBHAI,16125
620,776,"BHOJALRAM TRADING (SHYAMDHAM), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,35370
621,778,"BHERUNATH KIRANA, NAVAGAM",NAVAGAM,NITINBHAI 2,51510
622,783,"B.M TRADERS, MARGHA KENDRA",VADAVALA NAGAR,VIPULBHAI,21000
623,786,"BAJARANG KIRANA, NILKANTH SOC",ANJALI SOCIETY,VIPULBHAI,53144
624,792,"C.M BROTHERS, MORA BHAGAL",PALANPUR PATIYA,NITINBHAI 1,0
625,798,"CHOTHMAL UTTAMCHAND, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,0
626,799,"CHAMUNDA PROVISION, SACHIN PALIGAM",SACHIN,VIPULBHAI,296870
627,800,"DEVI KRUPA KARIYANA STORE, HIMMAT NAGAR",HIMMAT NAGAR,VIPULBHAI,63873
628,802,"DIPAK TRADERS (KASAKI VAD), BHAGAL   (Unclear Cheque :     272250)",BHAGAL,NITINBHAI 1,0
629,804,"DHANLAXMI TRADERS, GOYA BAZAR",ANKLESHWAR,JAYKISHAN,559359
630,809,"DEV NARAYAN &SONS (RAMESHBHAI), MAN SAROVAR GATE",GODADARA 1,NITINBHAI 2,41425
631,814,"GOPINATH CHOCOLATE, KAMREJ",KAMREJ,VIPULBHAI,21300
632,816,"GANESH TRADERS (UDHNA) (9408148300), BHATHENA",BHATHENA,NITINBHAI 1,0
633,819,"GAURAV FOOD (KHIRU VALA), DABHOLI",KATAR GAM 1,NITINBHAI 1,73350
634,824,"GAFAR BHAI, LAXMAN NAGAR",LAXMAN NAGAR,VIPULBHAI,16830
635,827,"HIMATLAL RAMJIBHAI, DARPAN CINEMA",DARPAN CINEMA,VIPULBHAI,0
636,829,"HARIOM TOBECO & SUPER (MADANLAL), GODADRA",GODADARA 2,NITINBHAI 2,581655
637,831,"HARIOM GRUH UDHYOG, PIPODARA",KIM,DHIRENBHAI,0
638,834,"JAGDISH TRADERS, PUNAGAM",PUNA GAM (D),VIPULBHAI,0
639,835,"JAY DURGA TRADING, UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,247000
640,836,"JITESH FLOUR MILL, GHANSHYAM NAGAR",GHANSHYAM NAGAR,VIPULBHAI,0
641,838,"JALARAM FARSAN (DHARAMNAGAR), A.K.ROAD",A.K.ROAD V,VIPULBHAI,29800
642,839,"JALARAM PATRA (SWAMINARAYAN MANDIR), SILVER CHOWK ",NANA VARACHHA,VIPULBHAI,900
643,840,"JALARAM MASALA (L.P SAVANI), ADAJAN PATIYA",,SHOP,257766
644,842,"JALARAM TRADERS (SUBHASHBHAI), GOTALA VADI",KATAR GAM 1,NITINBHAI 1,6975
645,845,"JAGDISH KUMAR, RAJKOT",SAVAR KUNDALA,DHIRENBHAI,52200
646,848,"JIGAR BHAI, KATAR GAM",KATAR GAM 1,NITINBHAI 1,15310
647,857,"KALPESH TRADERS, BARDOLI",BARDOLI,DHIRENBHAI,0
648,859,"KAILASH TRADING, PANDESARA (SACHIN)",PANDESARA,NITINBHAI 2,1471
649,862,"KAVITA NAMKEEN, DEVAT GAM   (Unclear Cheque :     188262)",GODADARA 1,NITINBHAI 2,-47992
650,864,"KRISHNA DANACHANA, A.K.ROAD",A.K.ROAD V,VIPULBHAI,0
651,865,"KALPTARU TRADERS, VYARA",VYARA,KANBHAI,1821545
652,866,"KHODIYAR TRADING, HIMMAT NAGAR",HIMMAT NAGAR,VIPULBHAI,0
653,870,"LALIT KIRANA (VIRAJIBHAI), BARODA PRISTAGE   (Unclear Cheque :       8425)",BARODA PRISTAGE,VIPULBHAI,10785
654,878,"MEHTA TRADERS, BARDOLI",BARDOLI,DHIRENBHAI,-19170
655,880,"Z MAHADEV TRADING(BAMROLI ROAD), PANDESARA",ROLL (N),EXTRA,-45000
656,890,"MOHAN HANSRAJ NI CO (GANESH), TADKESHWAR",KIM,KANBHAI,40478
657,892,"MARUTI STORES (DEBIT), VARSHA",VARSHA 1,VIPULBHAI,75815
658,893,"MANGAL TRADING, SAYAN",SAYAN,VIPULBHAI,158990
659,895,"NAKODA TRADERS, BARDOLI",BARDOLI,DHIRENBHAI,0
660,899,"NARMADA TRADERS, CHIKUVADI",KATAR GAM 1,NITINBHAI 1,0
661,900,"OM SUPER STORES (SINGAN POR), KATAR GAM",KATAR GAM 1,NITINBHAI 1,0
662,901,"PAVAN TRADERS (30,RANCHHOD NAGAR), UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,0
663,904,"PRAKASH BHAI (BILI MORA), NAVASARI",NAVASARI,DHIRENBHAI,122875
664,909,"PARTH GENERAL, SAYAN",SAYAN,VIPULBHAI,147618
665,910,"RAMA JIVA, GODADARA",GODADARA 2,NITINBHAI 2,367900
666,912,"RAMDEV KIRANA (PRIYANKA MEGA CITY), GODADRA",GODADARA 1,NITINBHAI 2,0
667,915,"RAJASTHAN TRADERS, VYARA",VYARA,DHIRENBHAI,0
668,916,"RAJESH FLOUR MILL, PARBAT PATIYA   (Unclear Cheque :      26370)",PARBAT PATIYA,NITINBHAI 2,0
669,917,"RATAN NAMKEEN (KANJI BHAI), BHAGYODAY ESTATE",PARBAT PATIYA,NITINBHAI 2,218607
670,924,"RAMDEV KIRANA (GANGARAM), RAMKRUSHNA SOC",L.H.ROAD,VIPULBHAI,0
671,927,"RAMDEV AGENCY, LASKANA",KAMREJ,VIPULBHAI,138750
672,930,"SHIV BEKARI, VARACHHA ROAD",VARACHHA ROAD,VIPULBHAI,91440
673,931,"RAJLAXMI KIRANA, SARVODAY",GODADARA 1,NITINBHAI 2,9330
674,934,"SHREENATHJI SUPER (BHIDABHAJAN SOC), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,0
675,938,"SHREEJI TRADING, BHAVNAGAR",SAVAR KUNDALA,DHIRENBHAI,54780
676,939,"SHARADA GRUH UDHYOG (HASUBHAI), BHARUCH",BHARUCH,JAYKISHAN,3175
677,949,"S.T STORES, NANPURA",NANPURA,NITINBHAI 1,0
678,958,"THAKORDAS AMTHARAM GANDHI, BHAGAL",BHAGAL,NITINBHAI 1,0
679,964,"VIDHATA GENERAL (CHIKUVADI), H. VARSHA PANDESARA",PANDESARA,NITINBHAI 2,0
680,965,"VARDHAMAN TOBECO, SACHIN",SACHIN,VIPULBHAI,5100
681,967,"VARDHAMAN TRADERS, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,1575
682,970,"VERIETY STORES, VYARA",VYARA,DHIRENBHAI,123700
683,971,"VASANTLAL CHOTHMAL, KAILASH NAGAR",BHAGAL,NITINBHAI 1,0
684,974,"VINAYAK GENERAL, SAYAN",SAYAN,VIPULBHAI,40808
685,977,"YOGESHWAR FARSAN, AMI PARK",AMI PARK,VIPULBHAI,0
686,981,"DHARTI SALES, NANA VARACHHA",NANA VARACHHA,VIPULBHAI,82410
687,982,"NAVIN VIJAY CO, GOYA BAZAR",ANKLESHWAR,JAYKISHAN,49465
688,983,"RAVI TRADERS (SHREE AVENUE SAME), GODADARA",GODADARA 1,NITINBHAI 2,95590
689,984,"MAHESHWARI TRADERS, A.K.ROAD",A.K.ROAD V,VIPULBHAI,36583
690,995,"SABRAS FOOD, KIM",KIM,DHIRENBHAI,63450
691,996,"AMARDEEP TRADERS (UDAY NAGAR), KATAR GAM",KATAR GAM 1,NITINBHAI 1,2550
692,997,"DEV NARAYAN TRADERS (NILGIRI), TRIKAM NAGAR",UDHNA YARD NAHER,NITINBHAI 2,3160
693,1000,"SAI TRADING (MADHI), BARDOLI",BARDOLI,DHIRENBHAI,26595
694,1003,"RATHI SALES CO., PANDESARA   (Unclear Cheque :      46800)",PANDESARA,NITINBHAI 2,1011210
695,1010,"GANDHI ASHVINKUMAR DAYABHAI, GOYABAZAR",ANKLESHWAR,JAYKISHAN,27750
696,1012,"PARESH TEMPO, BARDOLI",BARDOLI,DHIRENBHAI,3820
697,1016,"VEDANT SUPER STORE, ABHILASHA - 1 ",AMROLI,VIPULBHAI,140255
698,1018,"RADHE MAHILA GRUH UDHYOG (HARSHADBHAI), AMROLI",AMROLI,KANBHAI,71695
699,1019,"HIMALAY TRADING, SAYAN ROAD",AMROLI,VIPULBHAI,128040
700,1020,"MAHESHWARI SUPER, KAVAS",PALANPUR PATIYA,NITINBHAI 1,0
701,1021,"PARSHOTAM DAS & CO, KAVAS",PALANPUR PATIYA,NITINBHAI 1,2700
702,1022,"AMBIKA KIRANA, SAYAN   (Unclear Cheque :      50000)",SAYAN,VIPULBHAI,65590
703,1026,"PRABHAV TRADERS, SONGADH",VYARA,KANBHAI,49600
704,1028,"RUSHI TRADING, PARBAT PATIYA",PARBAT PATIYA,NITINBHAI 2,199935
705,1029,"DHARMARAJ TRADERS (RAMI PARK), GODADARA",NAVAGAM,NITINBHAI 2,464468
706,1031,"SHIV FLOUR MILL (KALUBHAI), OPERA,VIP CIRCLE",ROLL (V),EXTRA,236580
707,1035,"ARIHANT GENERAL, PIPODARA",KIM,DHIRENBHAI,20990
708,1039,"MOKSH KIRANA, KATARGAM",KATAR GAM 1,NITINBHAI 1,0
709,1040,"VIPUL TRADERS, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,68900
710,1045,"DEV NARAYAN TRADERS, NILAM NAGAR",GODADARA 2,NITINBHAI 2,22475
711,1047,"ARPIT INTERNATIONAL, VASHI",BOMBAY,SHOP,11110
712,1052,"JAY TRADING, TRIKAM NAGAR",TRIKAM NAGAR,VIPULBHAI,500
713,1053,"RAMDEV KIRANA (RANCHHOD BHAI), NILGIRI ",UDHNA YARD NAHER,NITINBHAI 2,12150
714,1054,"PRATAP PROVISION (SIDHDHARTH), MODEL TOWN",PARBAT PATIYA,NITINBHAI 2,0
715,1055,"SHREE KRUPA TRADING, JAKATNAKA (RADHEKRUSHN SO)",NANA VARACHHA,VIPULBHAI,0
716,1058,"MATESHWARI TRADING CO, RAMIPARK GODADARA",NAVAGAM,NITINBHAI 2,367485
717,1059,"SHRI UMIYA PARIVAR TRUST, UMIYADHAM MANDIR   (Unclear Cheque :      10500)",A.K.ROAD V,VIPULBHAI,0
718,1063,"VISHALA AGRO FOOD, SACHIN",SACHIN,KANBHAI,167300
719,1067,"CHAMUNDA FLOUR MILL, BHATAR",BHATAR ROAD,NITINBHAI 1,0
720,1068,"MATESHWARI SUPER, ARIHANT PARK ",KADODARA,VIPULBHAI,85035
721,1069,"HIREN BROTHERS, BHARUCH",BHARUCH,JAYKISHAN,165658
722,1071,"LAXMI KIRANA (PATEL NAGAR), UDHANA",UDHNA MAIN ROAD,NITINBHAI 2,0
723,1072,"ADINATH MARKETING, GODADARA   (Unclear Cheque :     151576)",GODADARA 1,NITINBHAI 2,15630
724,1073,"SHREE RAM TRADERS (SONARAM), GODADARA",GODADARA 2,NITINBHAI 2,318115
725,1075,"D.N SUPER STORE, DINDOLI BUS STOP   (Unclear Cheque :      73400)",NAVAGAM,NITINBHAI 2,229835
726,1076,"VIKAS TRADERS, MAHAPRABHUNAGAR",GODADARA 2,NITINBHAI 2,306543
727,1077,"BHAGAVAN KIRANA (LASKANA), VIPUL NAGAR",KAMREJ,VIPULBHAI,0
728,1079,"SARVMANGAL FOOD, PIPODARA",KIM,KANBHAI,0
729,1090,"BHERUNATH KIRANA STORE, PIPODARA",KIM,DHIRENBHAI,1650
730,1091,"BAJARANG PROVISION STORE, ANKLESHWAR ",ANKLESHWAR,JAYKISHAN,103850
731,1092,"SHREE SHAKTI TRADING CO, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,137010
732,1094,"AVAKAR TRADERS, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,5090
733,1095,"MAHAVEER CORPORATION, KAMREJ",KAMREJ,VIPULBHAI,0
734,1096,"DEV NARAYAN KIRANA (DHIRAJ BHAI), MITHI KHADI",MITHI KHADI,NITINBHAI 2,3000
735,1100,"APESHWAR TRADERS, BHATHENA",BHATHENA,NITINBHAI 1,159685
736,1101,"SHIV AVTAR TRADERS, GOYA BAZAR",ANKLESHWAR,JAYKISHAN,53585
737,1102,"SHRI GANESH PROVISION STORE, NETRANG",AMROLI,VIPULBHAI,0
738,1103,"JAY MATAJI ANAJ BHANDAR, AMROLI (AAVAS)   (Unclear Cheque :     130000)",AMROLI,VIPULBHAI,435068
739,1104,"SATNAM TRADERS, CHIKUVADI",KATAR GAM 1,NITINBHAI 1,0
740,1106,"GORAJI TRADERS, BHATAR",BHATAR ROAD,NITINBHAI 1,0
741,1111,"RAGHUVEER FOOD PRODUCTS, SACHIN",SACHIN,KANBHAI,556900
742,1114,"BHERUJI MASALA (AASPAS), GODADARA",GODADARA 2,NITINBHAI 2,727959
743,1116,"ASHAPURA KIRANA, MODEL TOWN",PARBAT PATIYA,NITINBHAI 2,19980
744,1117,"KALPESH DRY FRUITS (SURENDRA BHAI), KAMREJ   (Unclear Cheque :     172703)",KAMREJ,VIPULBHAI,339264
745,1123,"KANA ENTERPRISE, NAVSARI ",NAVASARI,DHIRENBHAI,8625
746,1128,"MAHAKALI FOOD, PALSANA",PALSANA,KANBHAI,11660
747,1131,"JAY JULELAL TRADERS (DEBIT), RAM NAGAR",PALANPUR PATIYA,NITINBHAI 1,0
748,1133,"AGRAWAL TRADING, ANKLESHWER",ANKLESHWAR,JAYKISHAN,5800
749,1134,"SHRADHDHA TRADING (SANJAY BHAI), KUBERNAGAR",KATAR GAM 2,KANBHAI,0
750,1137,"RAVANI GENERAL (AMARDEEP SOC), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,137160
751,1139,"M.D MART (CHAUDHARI), GODADARA   (Unclear Cheque :      21280)",GODADARA 1,NITINBHAI 2,228186
752,1143,"RAJ OVERSEAS, ZAPABAZAR",DILHI GATE,NITINBHAI 1,156405
753,1145,"MATESHWARI NAMKEEN (MUKESH BHAI), NAVAGAM",NAVAGAM,NITINBHAI 2,0
754,1147,"SUNRISE TRADERS, GOYA BAZAR",ANKLESHWAR,JAYKISHAN,0
755,1148,"SHIVSHAKTI TRADING, RAJPIPLA CHOKDI",ANKLESHWAR,JAYKISHAN,0
756,1149,"NAVAKAR TRADERS, ISHWAR KRUPA",KUBER NAGAR,KANBHAI,0
757,1151,"BRAHMANI KIRANA (OM NAGAR), DINDOLI",NAVAGAM,NITINBHAI 2,37500
758,1152,"DEV NARAYAN KIRANA,  MARUTI NAGAR",UDHNA YARD,NITINBHAI 2,0
759,1153,"RAJESHWAR TOBECO & GENERAL STORES, MAN SAROVAR ROAD",GODADARA 2,NITINBHAI 2,298495
760,1156,"KRISHNA TRADERS (MOHAN LAL), PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,592162
761,1157,"PREM BHAI, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,0
762,1160,"KGN GENERAL, TRILOK NAGAR",KATAR GAM 1,NITINBHAI 1,13990
763,1162,"RAJPUTANA TRADERS (HOUSING), SACHIN",SACHIN,VIPULBHAI,219485
764,1163,"RAJ FOOD PRODUCTS, UNA",SAVAR KUNDALA,KANBHAI,6000
765,1166,"MAHAVEER STORE, GOPIPURA",BHAGAL,NITINBHAI 1,0
766,1170,"R.K TRADERS, SACHIN GIDC",SACHIN,VIPULBHAI,92278
767,1171,"SHREE HARI GRUH UDHYOG, SACHIN   (Unclear Cheque :     400000)",SACHIN,KANBHAI,228500
768,1172,"RADIUM FOOD, NR. MANISHA HOTEL",KAMREJ,KANBHAI,3474
769,1173,"JAY AMBE TRADERS (VED ROAD), KATAR GAM",KATAR GAM 1,NITINBHAI 1,0
770,1175,"CHHAGAN BHAI, SIMADA GAM",NANA VARACHHA,VIPULBHAI,20280
771,1176,"SHREEJI TRADERS (SIMADA GAM), HASTE. MARUTI SHYAMDHAM, SARTHANA JAKATNAKA",NANA VARACHHA,VIPULBHAI,193878
772,1182,"TULSI TRADERS, ANJANI GIDC , AMROLI",SAYAN,VIPULBHAI,37425
773,1184,"BHERUNATH TRADERS (GANGADHARA), (HASTE: PAPPUBHAI) BARDOLI",BARDOLI,DHIRENBHAI,69325
774,1193,"RAJARAM TRADERS, SAROLI GATE NI BAJUMA",PUNA GAM (D),VIPULBHAI,223530
775,1195,"UMIYA TRADERS, ANKLESHWER",ANKLESHWAR,JAYKISHAN,0
776,1196,"MOMAI TRADERS (DEBIT), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,502
777,1197,"VINAY TRADERS, GODADARA",GODADARA 1,NITINBHAI 2,108395
778,1202,"DATANI ENTERPRISE, JAMNAGAR",SAVAR KUNDALA,DHIRENBHAI,0
779,1204,"MARUTI GENERAL STORE, PIRAMIN NAKA",ANKLESHWAR,JAYKISHAN,52130
780,1207,"RAMDEV SUPER (SURBHI COMPLEX), PARBAT PATIYA   (Unclear Cheque :      37000)",PARBAT PATIYA,NITINBHAI 2,324320
781,1213,"MUKESH TRADERS, UDHANA YARD",UDHNA YARD NAHER,NITINBHAI 2,45560
782,1214,"MARUTI KIRANA, VIVEKANAND",VIVEKANAND SOCIETY,VIPULBHAI,211560
783,1215,"KHODIYAR FARSAN, PATELNAGAR KAMREJ",KAMREJ,VIPULBHAI,16800
784,1216,"S.P AGENCY, PAAL",PALANPUR PATIYA,NITINBHAI 1,0
785,1217,"SHREE TRADERS, BHAGU NAGAR",SANTOSHI NAGAR D,VIPULBHAI,0
786,1219,"SATAGURU TRADERS, GODADARA",GODADARA 2,NITINBHAI 2,66210
787,1220,"DEV NARAYAN KIRANA, NAVA NAGAR",UDHNA YARD,NITINBHAI 2,0
788,1221,"JALARAM MASALA (RUSHIT BHAI), CHIKHLI",VALASAD,DHIRENBHAI,7185
789,1222,"KAILASH BHAI (SAMOSA VALA), MAHADEV NAGAR",MAHADEV NAGAR,VIPULBHAI,81825
790,1223,"JALARAM MASALA (PRADIP BHAI), ANANDMAHAL ROAD ",,SHOP,287635
791,1225,"DHARTI TRADERS, PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,0
792,1227,"SUNRISE MARKETING, KACHCHH",VYARA,DHIRENBHAI,181995
793,1228,"DEV NARAYAN (PANI NI TAKI), NANA VARACHA",NANA VARACHHA,VIPULBHAI,0
794,1230,"SHREE KRISHNA SAMOSA, KAMREJ ",KAMREJ,VIPULBHAI,21300
795,1234,"VAIDIK TRADING CO, DHARAMNAGAR",A.K.ROAD V,VIPULBHAI,20645
796,1239,"HAPPY TRADERS (PANI NI TAKI PASE), PUNAGAM ",PUNA GAM,VIPULBHAI,307468
797,1242,"N.K MART (RUKSHMANIPARK), KHARVASA ROAD   (Unclear Cheque :     139733)",NAVAGAM,NITINBHAI 2,287427
798,1245,"SAVARIYA PROVISION (BILIYANAGAR), NAVAGAM",NAVAGAM,NITINBHAI 2,12800
799,1247,"DARSHAN TRADERS, KAPODRA",KAPODRA CHAR RASTA D,VIPULBHAI,0
800,1249,"MARUTI TRADERS, RAJPIPALA CHOKDI ",ANKLESHWAR,JAYKISHAN,74250
801,1251,"NEW JAGDAMBA KIRANA (NARU BHAI), NILGIRI",UDHNA YARD NAHER,NITINBHAI 2,587609
802,1252,"J.C CHANAVALA, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,0
803,1255,"SUNDHA TRADERS, MITHIKHADI",MITHI KHADI,NITINBHAI 2,195110
804,1257,"SHREE RAJESHWAR TRADING (DEBIT), AMROLI   (Unclear Cheque :     168500)",AMROLI,VIPULBHAI,106258
805,1261,"R.M SHUKLA KIRANA STORE, GOPAL NAGAR",GODADARA 2,NITINBHAI 2,89180
806,1263,"NITINBHAI, SIMADA",NANA VARACHHA,VIPULBHAI,152320
807,1265,"RATHI TRADERS, GALEMANDI",DILHI GATE,NITINBHAI 1,0
808,1266,"ROYAL DRYFRUITS, BHAGAL",BHAGAL,NITINBHAI 1,0
809,1270,"PARAG D. MITHIYA, DAYAPARK",BHOLA NAGAR,VIPULBHAI,35740
810,1271,"NAVJIVAN MARKETING, SIMADA NAKA",NANA VARACHHA,VIPULBHAI,0
811,1273,"R.K DRYFRUIT (DEBIT), BHAGAL",BHAGAL,NITINBHAI 1,1267
812,1283,"RAMDEV GENERAL STORE (CHIRAG ), VALAM NAGAR",NANA VARACHHA,VIPULBHAI,1078710
813,1285,"SAVARIYA TRADERS (BALUBHAI), NILGIRI   (Unclear Cheque :      50000)",GODADARA 2,NITINBHAI 2,252782
814,1286,"TULSI SUPER STORE, VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,624679
815,1287,"MAHADEV SALES, DADA BHAGVAN ,KAMREJ",KAMREJ,VIPULBHAI,22400
816,1301,"SIDHDHI FARSAN (DEBIT), MAHAPRABHU NAGAR",MAHAPRABHU NAGAR,NITINBHAI 2,0
817,1310,"MANGALAM TRADING (DEBIT), UDHN YARD",UDHNA MAIN ROAD,NITINBHAI 2,59840
818,1312,"DELUX TRADERS (DEBIT), UDHNA YARD",UDHNA MAIN ROAD,NITINBHAI 2,334027
819,1313,"RADHE TRADING (DEBIT), UDHNA YARD",UDHNA MAIN ROAD,NITINBHAI 2,5469
820,1315,"POOJA TRADING (DEBIT), PANDESARA",PANDESARA,NITINBHAI 2,661713
821,1321,"NEW GAUTAM PROVISION STORE (DEBIT), AMROLI   (Unclear Cheque :      40650)",AMROLI,VIPULBHAI,274591
822,1326,"MADANLAL MOHANLAL (DEBIT), CHALTHAN",CHALTHAN,VIPULBHAI,22500
823,1347,"RAMDEV GENERAL STORE (CHIRAG) (DEBIT), VALAM NAGAR ",NANA VARACHHA,VIPULBHAI,152309
824,1350,"SHREE HARI KIRANA (DEBIT), YOGI CHOWK",NANA VARACHHA,VIPULBHAI,0
825,1355,"TULSI GENERAL STORE (DEBIT), KAMREJ",KAMREJ,VIPULBHAI,360
826,1356,"ARIHANT TRADERS (NARU BHAI) (DEBIT), KAMREJ",KAMREJ,VIPULBHAI,34705
827,1357,"ARIHANT TRADERS (SURENDRA BHAI) (DEBIT), KAMREJ",KAMREJ,VIPULBHAI,0
828,1362,"MANOHAR TRADING (GANESH) (DEBIT), KAPODRA",KAPODRA CHAR RASTA D,VIPULBHAI,11485
829,1366,"NAVAKAR TRADERS (DEBIT), ISHWAR KRUPA",KUBER NAGAR,KANBHAI,27310
830,1377,"KGN GENERAL STORE (DEBIT), TRILOK NAGAR",KATAR GAM 1,NITINBHAI 1,12330
831,1381,"AMINITI ENTERPRISE (DEBIT), RAILWAY STATION",DILHI GATE,NITINBHAI 1,1200
832,1387,"SUNIL TRADERS (DEBIT), BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,78675
833,1391,"PASHVANATH TRADING (DEBIT), PALANPUR PATIYA   (Unclear Cheque :     151970)",PALANPUR PATIYA,NITINBHAI 1,461825
834,1396,"V.D & CO (L.P SAVANI) (DEBIT), ADAJAN PATIYA",PALANPUR PATIYA,NITINBHAI 1,1463174
835,1401,"M.D MART (CHAUDHRI) (DEBIT), GODADARA",GODADARA 1,NITINBHAI 2,192415
836,1405,"KALPTARU TRADERS (DEBIT), VYARA",VYARA,KANBHAI,228624
837,1412,"VIMAL PROVISION (PAVUBHAI) (DEBIT), SAVAR KUNDALA",SAVAR KUNDALA,DHIRENBHAI,0
838,1416,"BHAYANI SALES CORPORATION, KAMREJ",KAMREJ,VIPULBHAI,174090
839,1420,"RAJASTHAN KARIYANA STORE (DEBIT), VADAVALA NAGAR   (Unclear Cheque :     170000)",VADAVALA NAGAR,VIPULBHAI,201793
840,1428,"ARIHANT TRADERS (DIPAKBHAI) (DEBIT), KATAR GAM ",KATAR GAM 2,NITINBHAI 1,-23930
841,1455,"SHIVSHAKTI TRADING (DEBIT), RAJPIPLA CHOKDI",ANKLESHWAR,JAYKISHAN,0
842,1462,"SHANTI TRADING (DEBIT), CHALTHAN",CHALTHAN,VIPULBHAI,147255
843,1471,"BHERUNATH KARIYANA (S.B SONS) (DEBIT), KRUSHNAKUNJ GODADARA",NAVAGAM,NITINBHAI 2,1532626
844,1472,"PATEL TOBECO (VED ROAD) (DEBIT), KATAR GAM",KATAR GAM 1,NITINBHAI 1,0
845,1476,"KISAN TRADERS (DEBIT), VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,40800
846,1481,"PRINCE TRADERS (NANESH) (DEBIT), BHESTAN",BHESTAN,VIPULBHAI,21755
847,1485,"YAMUNA ENTERPRISE (BHAVANI CIRCLE), PATEL NAGAR   (Unclear Cheque :      90000)",A.K.ROAD V,KANBHAI,72140
848,1493,"SHREE SWAMINARAYAN SUPER STORE, DABHOLI",KATAR GAM 1,NITINBHAI 1,63783
849,1498,"KHETESHWAR TRADERS (DEBIT), PARBAT PATIYA",PARBAT PATIYA,NITINBHAI 2,26990
850,1509,"DEEP TRADERS (DABGARVAD), RANI TALAV",BHAGAL,NITINBHAI 1,249231
851,1518,"MILAN FARSAN (DEBIT), MAHAPRABHUNAGAR",MAHAPRABHU NAGAR,NITINBHAI 2,0
852,1543,"PRAKASH TRADERS (DEBIT), CHALTHAN",CHALTHAN,VIPULBHAI,19410
853,1549,"MARUTI TRADING (DEBIT), PALSANA",PALSANA,VIPULBHAI,0
854,1584,"ISHWARLAL & SONS(CHOUTA BAZAR) (DEBIT), LAL GATE ",BHAGAL,NITINBHAI 1,434
855,1587,"RAJESH KIRANA (DEBIT), KIM",KIM,DHIRENBHAI,17490
856,1619,"BAJARANG PROVISION STORE (DEBIT), ANKLESHWAR",ANKLESHWAR,JAYKISHAN,-48230
857,1620,"SHREE NATHJI PROVISION STORE (DEBIT), GHADKHOR PATIYA",ANKLESHWAR,JAYKISHAN,0
858,1629,"BHAYANI GENERAL STORE (ASHOK BHAI) DEBIT, SANTOSHI NAGAR",SANTOSHI NAGAR D,VIPULBHAI,48550
859,1650,"SHITAL JUICE&SNACKS (HARSHAD BHAI)DEBIT, MINI BAZAR",MINI BAZAR,VIPULBHAI,0
860,1654,"SURENDRNAGAR SNACKS (DEBIT), VALINATH SOCIETY",KAPODRA CHAR RASTA D,VIPULBHAI,0
861,1660,"HARESHBHAI JIVANI,  ",,SHOP,38759
862,1661,"DIPAK MASALA (DEBIT), BHATAR",BHATAR ROAD,NITINBHAI 1,0
863,1672,"SHIVAM TRADERS (DEBIT), BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,132490
864,1674,"MALESHWAR TRADERS (BHAIYANAGAR), PUNAGAM",PUNA GAM (D),VIPULBHAI,17960
865,1681,"PAVAN TRADING, VADODARA",,PRATIK BHAI,-1742769
866,1698,"MODHESHWARI SHAKTI ANAJ BHANDAR, MOGAL PURA",BHARUCH,JAYKISHAN,1390
